Name	Process	Item	Count	Mass	Volume	Power	Cooling	Crewtime
Inventory-pd-1	BioM	Crop reactor/Plant growth chamber	1	399.16	0	0	0	0
Inventory-pd-2	BioM	Crop storage	1	0.0	0	0	0	0
