Name	Process	Item	Count	Mass	Volume	Power	Cooling	Crewtime
Inventory-tr1-1	BioM	Crop reactor/Plant growth chamber	1	399.16	0.0	0.0	0.0	0.0
Inventory-tr1-2	BioM	Crop storage	1	0.0	0.0	0.0	0.0	0.0
Inventory-tr1-3	Food	Food - 210 (initial transit) + 50 (surface) + 210 (return)	1	1739.94	2.3141202000000005	0.0	0.0	1.5
Inventory-tr1-4	Food	Packaging 	1	2027.0301000000002	2.695950033000001	0.0	0.0	0.0
Inventory-tr1-5	Food	Fridges - 3 needed	3	321.0	2.0	0.205	0.228	0.0
Inventory-tr1-6	Food	Processing	1	36.6	0.09	0.001	0.001	0.0
